titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0000929	1	Willys Streiche: Klebolin klebt alles	DE	\N	alternative	\N	0
tt0000929	2	Klebolin klebt alles	\N	\N	original	\N	1
tt0000929	3	Klebolin klebt alles	DE	\N	imdbDisplay	\N	0
tt0000977	1	Mutterliebe	\N	\N	original	\N	1
tt0000977	2	Mutterliebe	DE	\N	imdbDisplay	\N	0
tt0015414	1	La tierra de los toros	ES	\N	imdbDisplay	\N	0
tt0015414	2	La tierra de los toros	\N	\N	original	\N	1
tt0015414	3	La terre des taureaux	FR	\N	imdbDisplay	\N	0
tt0015414	4	The Land of the Bulls	XWW	en	\N	informal literal English title	0
tt0015414	5	La Terre des taureaux	FR	\N	alternative	\N	0
tt0015724	1	Dama de noche	MX	\N	imdbDisplay	\N	0
tt0015724	2	Dama de noche	\N	\N	original	\N	1
tt0015724	3	Éjszakai gyilkosság	HU	\N	imdbDisplay	\N	0
tt0015724	4	Lady of the Night	\N	\N	\N	\N	0
tt0034841	1	Hen Hop	\N	\N	original	\N	1
tt0034841	2	Hen Hop	FR	\N	imdbDisplay	\N	0
tt0034841	3	To pidima tis kotas	GR	\N	festival	\N	0
tt0034841	4	Hen Hop	CA	\N	\N	\N	0